"id_pessoa";"idade_pessoa";"salario_pessoa";"propriedade_pessoa";"tempo_trabalho";"id_emprestimo";"motivo_emprestimo";"nivel_emprestimo";"total_emprestimo";"taxa_juros";"possibilidade_inadimplencia";"renda_percentual";"id_historico";"inadimplencia_historico";"tempo_ultimo_credito"
"AspC7qDK-5Esh";21;60000;"Alugada";2.0;"kZHfWgGv-0dWJ";"Educativo";"B";8000;11.26;0;0.13;"UwfbzeaW-9tQt";"nao";3
"2NjYU2iT-fGSm";40;70000;"Hipotecada";6.0;"j7elJxsY-eTEQ";"Educativo";"A";18000;7.9;0;0.26;"viRQ2WYn-yJ2G";"nao";14
"nTOKgZCT-YPUD";29;115000;"Hipotecada";3.0;"t9dKvc6a-4eAL";"Medico";"C";22000;15.23;0;0.19;"IEHObaim-KPC9";"sim";7
"J3jGNZeh-OzZE";26;84996;"Alugada";0.0;"NaelpPC5-t2kz";"Medico";"B";9000;11.26;0;0.11;"GvqL52S8-S8OH";"nao";2
"flpZfspk-bUuL";23;54500;"Alugada";2.0;"4NHe4vfi-QLvW";"Pagamento de debitos";"A";8000;0.0;0;0.15;"fbc8cPEp-uJEB";"nao";2
"HIWfRjYs-Z9XU";40;44000;"Alugada";0.0;"tilhQ4Ny-usUE";"Pessoal";"A";6000;0.0;1;0.14;"yGtY95es-ueBR";"nao";12
"OQXEoNPl-hL0f";23;24000;"Propria";7.0;"QxdBboWP-KKFh";"Educativo";"A";5000;7.49;0;0.21;"Ue0IMCKa-d0AQ";"nao";2
"GiP48I8v-4QMo";27;56253;"Alugada";11.0;"uYH6bhrT-ewlf";"Empreendimento";"B";10000;11.36;0;0.18;"ZSKhw1Wq-Grfc";"nao";8
"rz6KYxBX-SCcJ";32;19200;"Alugada";0.0;"rexKO1Fs-lZn3";"Empreendimento";"B";5000;9.99;1;0.26;"gngDxDmO-YH6A";"nao";6
"IJKlCu5g-hK22";24;18000;"Propria";0.0;"Ki2Rr7Di-8Is1";"Melhora do lar";"A";6250;6.54;1;0.35;"b8bJFyze-0WBF";"nao";4
"RlXKEDYF-bxj9";28;45000;"Propria";8.0;"fjmNsAsB-FbKd";"Medico";"B";7200;6.03;0;0.16;"GLxc73MO-DFdr";"nao";4
"491clhel-r6QN";24;54400;"Hipotecada";8.0;"vBqQxCT6-Cp8J";"Pagamento de debitos";"C";12000;0.0;0;0.22;"qZFFgtOj-MfKf";"sim";4
"mpfjpS76-GpMH";23;80000;"Alugada";6.0;"U3GtqMpT-D0SF";"Empreendimento";"A";6500;7.51;0;0.08;"lusooYZf-PCbH";"nao";3
"TgE5b4GO-Dt74";24;145000;"Hipotecada";0.0;"BH1pq4aj-trt0";"Pessoal";"B";7000;10.99;0;0.05;"oUk9piHQ-eXRY";"nao";2
"K58ydOiW-a2I3";30;36000;"Alugada";6.0;"sxSX7s1R-Wo1r";"Pagamento de debitos";"C";4500;13.49;0;0.13;"o65QapOc-tR0Z";"sim";6
"4lYeiWLm-P0QY";22;40000;"Alugada";6.0;"UFYAZiMe-d1Lo";"Educativo";"D";7200;17.58;0;0.18;"jqGfQoOO-HquX";"sim";2
